date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:06:58 AM,235,2485.81249084249,2275.25,2274,2485.81249084249,2371.48593050724
1:07:01 AM,236,2567.44106227106,2332,2332,2567.44106227106,2454.45315421644
1:07:04 AM,237,2652.40606227106,2606.2,2468,2652.40606227106,2549.00538248309
1:07:07 AM,238,2743.87785714286,2801.35714285714,2808.5,2743.87785714286,2657.93693244357
1:07:10 AM,239,2840.48202380952,2904.5,2904.5,2840.48202380952,2781.96909012798
1:07:13 AM,240,2912.15702380952,2692.5,2692.5,2912.15702380952,2913.53101714144
1:07:16 AM,241,3017.97066017316,3145,3145,3017.97066017316,3042.97884398283
1:07:19 AM,243,3111.13732683983,3216,3216,3111.13732683983,3256.95671914494
1:07:22 AM,244,3200.48126623377,3280,3280,3200.48126623377,3322.19902846342
1:07:25 AM,245,3326.48126623377,3336,3336,3326.48126623377,3351.66445523284
1:07:28 AM,246,3482.06876623377,3382,3382,3482.06876623377,3360.27260808959
1:07:31 AM,247,3637.66876623377,3419,3419,3637.66876623377,3367.85579129757
1:07:34 AM,248,3782.65876623377,3458,3458,3782.65876623377,3394.24630912066
1:07:37 AM,249,3922.59090909091,3489.66666666667,3490,3922.59090909091,3459.27646582274
1:07:40 AM,250,4061.41590909091,3513,3513,4061.41590909091,3577.74768641092
1:07:43 AM,251,4213.54090909091,3561,3559,4213.54090909091,3744.33787886516
1:07:46 AM,252,4344.46590909091,4279.27272727273,4235,4344.46590909091,3948.69407190863
1:07:49 AM,253,4471.71590909091,4063.33333333333,3936,4471.71590909091,4180.4632942645
1:07:52 AM,254,4595.32840909091,4010.54545454545,3615,4595.32840909091,4429.29257465596
1:07:55 AM,255,4718.90340909091,4765,4767,4718.90340909091,4684.62941060173
1:07:58 AM,256,4852.39840909091,5387,5387,4852.39840909091,4935.12317480284
1:08:01 AM,259,4994.48261961722,5444,5444,4994.48261961722,5542.04445190388
1:08:04 AM,260,5165.97011961723,5506,5506,5165.97011961723,5657.66434409205
1:08:07 AM,261,5344.58678628389,5600,5600,5344.58678628389,5710.69037201843
1:08:10 AM,262,5532.26178628389,5681,5681,5532.26178628389,5698.11207745835
1:08:13 AM,263,5726.41178628389,5735,5735,5726.41178628389,5651.07780330219
1:08:16 AM,264,5887.69814992026,5763.5,5763.5,5887.69814992026,5609.27559271909
1:08:19 AM,265,6063.70648325359,5761,5761,6063.70648325359,5612.39348887822
1:08:22 AM,266,6245.72921052632,5752.25,5751,6245.72921052632,5700.11953494869
1:08:25 AM,267,6393.50421052632,5807.5,5807.5,6393.50421052632,5898.15953793409
1:08:28 AM,268,6516.50421052632,6051.9,6024,6516.50421052632,6176.29036017566
1:08:31 AM,269,6674.76135338346,6260.68421052632,6295,6674.76135338346,6490.30662784905
1:08:34 AM,270,6846.46135338346,6887.75,6861.5,6846.46135338346,6796.00296712992
1:08:37 AM,271,7004.96135338346,7062,7063,7004.96135338346,7049.17400419394
1:08:40 AM,272,7149.86552005013,7266.5,7266.5,7149.86552005013,7216.57038449429
1:08:43 AM,277,7319.06552005013,7444,7444,7319.06552005013,7356.16810980521
1:08:46 AM,278,7485.44052005013,7505,7505,7485.44052005013,7395.32601251464
1:08:49 AM,279,7653.66552005013,7583.5,7583.5,7653.66552005013,7488.46843206829
1:08:52 AM,280,7828.62802005013,7651,7651,7828.62802005013,7657.12611030692
