date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:02:31 AM,139,479.14920361248,497,505,479.14920361248,498.722069647275
1:02:34 AM,140,514.932536945813,573.5,574.5,514.932536945813,567.923060466859
1:02:37 AM,141,548.520036945813,681.379310344828,680,548.520036945813,627.115973222778
1:02:40 AM,142,576.745036945813,720.666666666667,718,576.745036945813,676.531855941853
1:02:43 AM,144,602.720036945813,747,747,602.720036945813,746.956723376765
1:02:46 AM,145,631.665826419497,747.571428571429,746,631.665826419497,768.427804146246
1:02:49 AM,146,658.515826419497,757,757,658.515826419497,781.258756594552
1:02:52 AM,147,683.865826419497,762,762,683.865826419497,786.744176790387
1:02:55 AM,148,703.190826419497,769.666666666667,770,703.190826419497,786.391370410835
1:02:58 AM,149,718.415826419497,783.5,783.5,718.415826419497,781.70764313298
1:03:01 AM,150,727.315826419497,808.8,810,727.315826419497,774.200300633904
1:03:04 AM,151,732.390826419497,820.666666666667,822,732.390826419497,765.17914507411
1:03:07 AM,152,731.971860902256,784.25,786.5,731.971860902256,755.163964547778
1:03:10 AM,153,729.588527568922,685.5,682,729.588527568922,744.47704363251
1:03:13 AM,154,725.921860902256,647.5,642,725.921860902256,733.440666905907
1:03:16 AM,155,722.793289473684,733.315789473684,742,722.793289473684,722.377118945568
1:03:19 AM,156,720.043289473684,737,737,720.043289473684,711.621666139727
1:03:22 AM,157,718.109956140351,743,743,718.109956140351,701.561502119146
1:03:25 AM,159,716.901622807017,689,689,716.901622807017,685.127742199335
1:03:28 AM,161,715.293289473684,680,679,715.293289473684,676.277242717286
1:03:31 AM,162,714.46692583732,675,675,714.46692583732,675.696154243906
1:03:34 AM,163,712.193592503987,675,675,712.193592503987,677.966582054688
1:03:37 AM,164,708.276925837321,673,673,708.276925837321,682.264575843736
1:03:40 AM,165,720.076925837321,673,673,720.076925837321,687.521360155692
1:03:43 AM,166,736.951925837321,673.666666666667,673,736.951925837321,692.6681595352
1:03:46 AM,167,750.948636363636,685,684,750.948636363636,696.636198526904
1:03:49 AM,168,765.598636363636,702,702,765.598636363636,699.106667279844
1:03:52 AM,169,780.048636363636,723.333333333333,723,780.048636363636,702.760618360656
1:03:55 AM,170,797.098636363636,745.5,745.5,797.098636363636,711.02906994037
1:03:58 AM,171,813.998636363636,751.333333333333,752,813.998636363636,727.343040190018
1:04:01 AM,172,830.273636363636,792.272727272727,741,830.273636363636,755.133547280633
1:04:04 AM,173,845.223636363636,775.2,745,845.223636363636,796.249394298698
1:04:07 AM,174,860.123636363636,705.916666666667,700.5,860.123636363636,846.210523992519
1:04:10 AM,175,877.343636363636,921.5,921.5,877.343636363636,898.954664025847
1:04:13 AM,176,896.285303030303,985,985,896.285303030303,948.419542062441
1:04:16 AM,177,913.548636363636,1013.25,1014.5,913.548636363636,988.542885766055
1:04:19 AM,178,925.298636363636,1030,1030,925.298636363636,1014.70869385836
1:04:22 AM,179,937.56946969697,1032,1032,937.56946969697,1028.0860492927
1:04:25 AM,180,948.48446969697,1030,1030,948.48446969697,1031.29030608033
1:04:28 AM,181,960.580303030303,1018,1018,960.580303030303,1026.93681823249
1:04:31 AM,182,976.426666666667,1000.5,1000.5,976.426666666667,1017.64093976046
1:04:34 AM,183,997.016666666667,974,973,997.016666666667,1005.93192415858
1:04:37 AM,184,1021.32083333333,971,969.5,1021.32083333333,993.994622853606
1:04:40 AM,185,1034.99583333333,1017.4,1019,1034.99583333333,983.927786755409
1:04:43 AM,186,1045.49583333333,1052.5,1053.5,1045.49583333333,977.830166773846
1:04:46 AM,187,1054.48333333333,1030.26666666667,1044,1054.48333333333,977.800513818777
1:04:49 AM,188,1062.28333333333,937,937,1062.28333333333,985.382246874746
1:04:52 AM,189,1069.83333333333,968.75,910,1069.83333333333,999.897457225037
1:04:55 AM,190,1078.41666666667,963.8,919,1078.41666666667,1020.11290422762
1:04:58 AM,191,1089.54166666667,993.25,992,1089.54166666667,1044.79534724046
1:05:01 AM,192,1104.26666666667,1109.2,1087,1104.26666666667,1072.71154562152
1:05:04 AM,194,1128.52666666667,1187,1187,1128.52666666667,1132.12448583551
1:05:07 AM,195,1149.17149425287,1192,1192,1149.17149425287,1159.52157626793
1:05:10 AM,196,1183.66816091954,1195,1195,1183.66816091954,1182.54699930989
1:05:13 AM,197,1225.59316091954,1195,1195,1225.59316091954,1199.07669425584
1:05:16 AM,198,1276.97982758621,1193,1193,1276.97982758621,1206.98660040024
1:05:19 AM,199,1333.82982758621,1186,1186,1333.82982758621,1206.21521401748
1:05:22 AM,200,1389.81732758621,1183,1183,1389.81732758621,1204.95125930166
1:05:25 AM,201,1446.52732758621,1201.66666666667,1200,1446.52732758621,1213.44601742683
1:05:28 AM,202,1502.41482758621,1240.5,1240.5,1502.41482758621,1241.95076956705
1:05:31 AM,203,1553.35482758621,1295,1301,1553.35482758621,1300.71679689636
1:05:34 AM,204,1602.05482758621,1459.2,1357,1602.05482758621,1396.13659161721
1:05:37 AM,205,1652.35482758621,1383.89655172414,1348,1652.35482758621,1519.16749004563
1:05:40 AM,206,1703.70482758621,1707.33333333333,1660.5,1703.70482758621,1656.90803952604
1:05:43 AM,207,1756.31732758621,1891,1891,1756.31732758621,1796.45678740288
1:05:46 AM,209,1808.91732758621,2058,2058,1808.91732758621,2029.37306772352
1:05:49 AM,212,1892.53161330049,2074,2074,1892.53161330049,2156.68756113523
1:05:52 AM,214,1961.08161330049,2088.5,2088.5,1961.08161330049,2142.58935710433
1:05:55 AM,215,2025.91577996716,2098,2098,2025.91577996716,2125.08680479515
1:05:58 AM,216,2096.81577996716,2111,2111,2096.81577996716,2109.16591211143
1:06:01 AM,217,2225.14077996716,2128,2128,2225.14077996716,2101.05906596231
1:06:04 AM,218,2348.78077996716,2161,2161,2348.78077996716,2106.27632142977
1:06:07 AM,219,2490.43595238095,2198,2198,2490.43595238095,2130.14715063896
1:06:10 AM,220,2619.51928571429,2222,2222,2619.51928571429,2178.00102571503
1:06:13 AM,221,2742.76928571429,2247.25,2249,2742.76928571429,2255.16741878315
1:06:16 AM,222,2861.89428571429,2245,2245,2861.89428571429,2365.91181166143
1:06:19 AM,223,2983.54428571429,2858.28571428571,3133,2983.54428571429,2510.24372493989
1:06:22 AM,224,3105.96928571429,2554,2577,3105.96928571429,2687.10868890149
1:06:25 AM,225,3228.91928571429,2498.35,2388,3228.91928571429,2895.45223382919
1:06:28 AM,226,3350.05261904762,2658.5,2414,3350.05261904762,3134.21989000597
1:06:31 AM,227,3469.20261904762,3861.5,3825,3469.20261904762,3399.70802048359
1:06:34 AM,228,3586.17761904762,3932,3932,3586.17761904762,3677.61631938899
1:06:37 AM,229,3732.34761904762,4217,4217,3732.34761904762,3950.9953136179
1:06:40 AM,232,3874.38732492997,4289,4289,3874.38732492997,4574.46173720304
1:06:43 AM,234,4048.21232492997,4356,4356,4048.21232492997,4656.71915596582
1:06:46 AM,235,4309.44565826331,4440.5,4440.5,4309.44565826331,4559.38169160621
