date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
,143,887.2468056,835.5,737,887.2468056,770.9339609
,144,922.1968056,764,764,922.1968056,792.2703021
,145,957.5468056,846.875,811,957.5468056,821.7841585
,146,992.3968056,1016.2,1114,992.3968056,862.4435176
,147,1025.771806,931.5,976.5,1025.771806,917.2163667
,148,1057.021806,863.9444444,866.5,1057.021806,987.3057818
,149,1086.288472,1110,1017.5,1086.288472,1066.855192
,150,1114.238472,1047,1016,1114.238472,1148.243116
,151,1147.432917,1190.25,1191.5,1147.432917,1223.848071
,152,1181.96625,1277.5,1277.5,1181.96625,1286.048574
,155,1214.394821,1397,1398,1214.394821,1367.736223
,156,1257.294821,1427,1427,1257.294821,1370.990161
,157,1301.784405,1435,1435,1301.784405,1368.712384
,158,1339.599405,1425,1425,1339.599405,1364.776447
,159,1381.291071,1394.5,1394.5,1381.291071,1363.055905
,160,1424.243849,1349.5,1349.5,1424.243849,1366.884094
,161,1451.682738,1302,1271,1451.682738,1377.433474
,162,1479.745896,1264,1261.5,1479.745896,1395.336289
,163,1496.833396,1364.888889,1308,1496.833396,1421.224781
,164,1514.558396,1397.666667,1425,1514.558396,1455.731193
,165,1527.908396,1484.071429,1477,1527.908396,1499.487768
,166,1541.958396,1622,1615,1541.958396,1551.899025
,167,1557.208396,1736.666667,1738,1557.208396,1607.458592
,168,1574.108396,1772.5,1774.5,1574.108396,1659.432373
,169,1593.058396,1765.333333,1766,1593.058396,1701.086273
,170,1613.483396,1723,1723,1613.483396,1725.686197
,171,1644.739646,1658.777778,1676,1644.739646,1728.739178
,172,1660.889646,1608.263158,1611,1660.889646,1714.716766
,174,1686.139646,1532,1532,1686.139646,1662.296484
,176,1707.92904,1632,1632,1707.92904,1622.126786
,177,1726.212135,1664,1664,1726.212135,1623.417605
,178,1743.934862,1708,1708,1743.934862,1645.399295
,179,1769.451529,1740,1740,1769.451529,1682.235464
,180,1795.626529,1763,1763,1795.626529,1725.579907
,181,1825.009862,1773.5,1773.5,1825.009862,1767.08642
,182,1860.609862,1758,1758,1860.609862,1798.408797
,183,1903.770974,1927.125,1942,1903.770974,1814.393101
,184,1956.497816,1587,1585,1956.497816,1822.654467
,185,2016.564482,1869.888889,2090,2016.564482,1834.000302
,186,2064.845732,1833.454545,1904,2064.845732,1859.238008
,187,2112.669066,1849.733333,1843,2112.669066,1909.174991
,188,2167.71351,1976.454545,1991,2167.71351,1991.005183
,189,2219.22601,2247,2247,2219.22601,2097.468629
,190,2275.12601,2296,2296,2275.12601,2217.691902
,191,2333.70101,2353,2353,2333.70101,2340.801576
,192,2396.20101,2435,2435,2396.20101,2455.924223
,193,2454.29476,2522,2522,2454.29476,2554.051608
,194,2532.89476,2662.8,2670,2532.89476,2633.636261
,195,2599.400316,2733.333333,2735,2599.400316,2694.995904
,196,2670.352588,2597.625,2551,2670.352588,2738.448257
,197,2742.815922,2620.466667,2643,2742.815922,2764.311042
,198,2858.068194,2808.888889,2815,2858.068194,2772.901981
,199,2974.043194,2770.25,2769.5,2974.043194,2766.390176
,202,3065.987639,2881,2881,3065.987639,2759.390131
,203,3137.680496,2945,2945,3137.680496,2799.321946
,204,3185.950496,3008,3008,3185.950496,2879.429697
,205,3225.290972,3089,3089,3225.290972,3011.139395
,206,3287.834306,3159,3159,3287.834306,3198.323935
,207,3408.642639,3200,3200,3408.642639,3414.643739
,208,3539.311389,3252.5,3252.5,3539.311389,3626.206112
,209,3679.271389,3299,3299,3679.271389,3799.11836
,210,3803.539444,4281.5,4265.5,3803.539444,3899.487787
,211,3939.717854,4566.5,4894,3939.717854,3907.73213
,212,4073.98452,4134.888889,4326,4073.98452,3861.510863
,213,4203.063468,3786.857143,3785,4203.063468,3812.79389
,214,4323.313468,3400.4,3394,4323.313468,3813.551115
,215,4458.113468,3308.809524,3318,4458.113468,3915.752445
,216,4604.963468,3913.666667,3280,4604.963468,4153.053787
,217,4752.950968,5149.5,5149.5,4752.950968,4485.855061
,218,4890.909301,5211,5105.5,4890.909301,4856.242193
,219,5047.692634,5419.666667,5559,5047.692634,5206.301106
,220,5179.673634,5294.25,5205.5,5179.673634,5478.117723
,221,5293.88325,5493.818182,5515,5293.88325,5629.58667
,222,5462.068805,5566.333333,5566.5,5462.068805,5681.837373
,223,5664.470392,5526.578947,5538,5664.470392,5671.807958
,224,5863.400392,5413,5413,5863.400392,5636.436553
,226,6073.034916,5785,5785,6073.034916,5637.420278
,227,6261.801583,6096,5888,6261.801583,5747.651663
,228,6396.626583,6159.75,5918,6396.626583,5966.625086
,229,6541.526583,6011.666667,6029,6541.526583,6262.936283
,230,6765.56825,6434.666667,6313,6765.56825,6591.512511
,231,7023.462892,6921.12,7109,7023.462892,6907.281027
,232,7265.761983,6850.692308,6766,7265.761983,7165.169089
,233,7481.781031,7498.6,7525.5,7481.781031,7332.092086
,234,7697.694391,7834.888889,7995,7697.694391,7422.91794
,236,7900.357725,7379,7379,7900.357725,7483.70243
,239,8202.057725,7501.5,7501.5,8202.057725,7675.55193
,240,8495.957725,7689,7689,8495.957725,7873.772049
,241,8794.570225,7846,7846,8794.570225,8174.242311
